coin_id,date,open_usd,high_usd,low_usd,close_usd,volume_usd,market_cap_usd,extracted_at
tether,2026-02-24,0.99961,1.0,0.999412,0.999719,90957851445.69318,183573059921.86572,2026-05-14 21:45:28
tether,2026-02-28,0.999692,1.0,0.999502,1.0,71262396087.08199,183548842293.3003,2026-05-14 21:45:28
tether,2026-03-04,1.0,1.001,0.999549,1.0,84650809790.36569,183737853544.7725,2026-05-14 21:45:28
tether,2026-03-08,1.0,1.0,0.999824,0.999979,39069661588.640366,183967956042.79846,2026-05-14 21:45:28
tether,2026-03-12,0.999931,1.0,0.999714,1.0,72965356158.17609,183969617777.85583,2026-05-14 21:45:28
tether,2026-03-16,1.0,1.001,0.999899,1.0,49130764754.21382,184052526756.51514,2026-05-14 21:45:28
tether,2026-03-20,1.0,1.0,0.999888,1.0,76791654527.8052,184116041386.90872,2026-05-14 21:45:28
tether,2026-03-24,1.0,1.0,0.999563,0.999728,91635330091.9148,184132084541.98962,2026-05-14 21:45:28
tether,2026-03-28,0.99974,0.999828,0.999151,0.999309,76641405476.10576,184086003521.34445,2026-05-14 21:45:28
tether,2026-04-01,0.999323,0.999411,0.998968,0.999103,82966503163.4155,184059421031.63733,2026-05-14 21:45:28
tether,2026-04-05,0.999095,1.0,0.999095,0.999948,33899933885.440693,184154218737.5481,2026-05-14 21:45:28
tether,2026-04-09,0.99991,1.0,0.999508,1.0,70221522914.21844,184114355687.73486,2026-05-14 21:45:28
tether,2026-04-13,1.0,1.0,0.999057,1.0,49585241417.12921,184396863750.00598,2026-05-14 21:45:28
tether,2026-04-17,1.0,1.001,0.999792,1.0,80239030259.73729,185769882251.33258,2026-05-14 21:45:28
tether,2026-04-21,1.0,1.001,1.0,1.0,72574522319.4622,187962983239.43045,2026-05-14 21:45:28
tether,2026-04-25,1.0,1.0,0.999951,1.0,55437202123.75653,189701047675.4271,2026-05-14 21:45:28
tether,2026-04-29,1.0,1.0,0.999762,0.999805,54332033493.15596,189654267107.8989,2026-05-14 21:45:28
